SampleID,SourcePosition,SourceWell,Conc,Volume
Patterson5_Mouse1_Veh1,1,A1,unknown,1
Patterson5_Mouse1_Veh2,1,B1,unknown,1
Patterson5_Mouse1_Veh3,1,C1,unknown,1
Patterson5_Mouse1_Veh4,1,D1,unknown,1
Patterson5_Mouse1_Veh5,1,E1,unknown,1
Patterson5_Mouse1_Veh6,1,F1,unknown,1
Patterson5_Mouse1_PFOS1,1,G1,unknown,1
Patterson5_Mouse1_PFOS2,1,H1,unknown,1
Patterson5_Mouse1_PFOS3,1,A2,unknown,1
Patterson5_Mouse1_PFOS4,1,B2,unknown,1
Patterson5_Mouse1_PFOS5,1,C2,unknown,1
Patterson5_Mouse1_PFOS6,1,D2,unknown,1
Patterson5_Mouse1_PFOSNO1,1,E2,unknown,1
Patterson5_Mouse1_PFOSNO2,1,F2,unknown,1
Patterson5_Mouse1_PFOSNO3,1,G2,unknown,1
Patterson5_Mouse1_PFOSNO4,1,H2,unknown,1
Patterson5_Mouse1_PFOSNO5,1,A3,unknown,1
Patterson5_Mouse1_PFOSNO6,1,B3,unknown,1
Patterson6_KO_ROR_1,1,C3,unknown,1
Patterson6_KO_ROR_2,1,D3,unknown,1
Patterson6_KO_ROR_3,1,E3,unknown,1
Patterson6_KO_ROR_4,1,F3,unknown,1
Patterson6_KO_ROR_5,1,G3,unknown,1
Patterson6_KO_ROR_6,1,H3,unknown,1
Patterson6_KO_ROR_7,1,A4,unknown,1
Patterson6_KO_ROR_8,1,B4,unknown,1
Patterson6_KO_ROR_9,1,C4,unknown,1
Patterson6_WT_ROR_1,1,D4,unknown,1
Patterson6_WT_ROR_2,1,E4,unknown,1
Patterson6_WT_ROR_3,1,F4,unknown,1
Patterson6_WT_ROR_4,1,G4,unknown,1
Patterson6_WT_ROR_5,1,H4,unknown,1
Patterson6_WT_ROR_6,1,A5,unknown,1
Patterson6_WT_ROR_7,1,B5,unknown,1
Patterson6_WT_ROR_8,1,C5,unknown,1
LSDM_SLSD010,1,D5,unknown,1
LSDM_SLSD015,1,E5,unknown,1
LSDM_SLSD049,1,F5,unknown,1
LSDM_SLSD053,1,G5,unknown,1
LSDM_SLS063,1,H5,unknown,1
LSDM_SLS067,1,A6,unknown,1
LSDM_SLS101,1,B6,unknown,1
LSDM_SLS106,1,C6,unknown,1
LSDM_ExtCon1,1,D6,unknown,1
LSDM_ExtCon2,1,E6,unknown,1
Bordenstein1_4M_outbred_CV,1,F6,unknown,1
Bordenstein1_30M_outbred_CV,1,G6,unknown,1
4M_inbred_GF,1,H6,unknown,1
30M_inbred_GF,1,A7,unknown,1
4F_inbred_GF,1,B7,unknown,1
30F_inbred_GF,1,C7,unknown,1
4M_outbred_GF,1,D7,unknown,1
30M_outbred_GF,1,E7,unknown,1
4F_outbred_GF,1,F7,unknown,1
30F_outbred_GF,1,G7,unknown,1
